N,P,K,temperature,humidity,ph,rainfall,label
16,65,22,26.55064254,68.31499636,7.737736157,45.45377777,lentil
7,72,21,20.95638535,65.47875197,6.910263051,38.26735102,lentil
31,63,23,28.34796468,62.50401213,7.768527225,50.70383225,lentil
17,76,20,25.61328215,67.81529731,6.926947682,39.94491725,lentil
25,64,17,22.75084457,66.91169265,6.850313409,43.26780274,lentil
19,66,24,29.24964764,65.15733422,7.640097904,44.70280437,lentil
21,74,16,23.31910948,61.728613,7.184264338,41.75605657,lentil
32,61,20,28.02134041,65.3678223,7.009871958,48.4053873,lentil
38,69,18,27.46450586,64.96091894,6.547443545,49.7408319,lentil
30,78,21,29.25492801,63.68201734,7.423661194,47.75399335,lentil
14,62,22,22.75656441,60.84704241,7.731416301,52.30537661,lentil
10,73,23,29.15636502,60.98307125,7.078361336,41.80469042,lentil
9,70,25,22.785006,66.24828389,7.182848123,49.76202074,lentil
35,68,16,28.49716325,61.81778673,6.417877793,37.43851249,lentil
34,65,20,29.37968437,65.13239079,6.773145782,35.7893601,lentil
11,75,21,26.93409018,61.9420113,6.968271688,41.22335187,lentil
21,64,22,22.35645671,66.48465241,7.684675347,49.90519701,lentil
15,61,18,26.25941638,64.6717146,7.554467506,50.04244888,lentil
24,77,19,23.56802395,61.1541786,6.325660899,36.6533056,lentil
16,70,25,21.95898152,66.22050885,7.621566312,38.65392656,lentil
4,74,16,23.39485727,61.5333275,7.188046077,44.92654513,lentil
12,63,17,25.68593757,60.72019291,6.486038796,43.61424524,lentil
20,67,23,27.09956232,65.64250738,6.793472583,39.29190868,lentil
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
6,0,37,19.65690085,89.93701023,5.937649578,108.0458926,pomegranate
8,26,36,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate
37,?,39,24.1469628,94.5110662,6.424670614,110.2316633,pomegranate
0,27,38,22.44581266,89.90147027,6.738016221,109.3905998,pomegranate
31,25,38,24.96273236,92.40501423,6.497366677,109.4169192,pomegranate
21,21,38,22.5526059,89.3259486,6.327673765,104.8955643,pomegranate
6,30,40,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate
25,27,41,19.20090378,94.27659596,6.923509371,108.0423555,pomegranate
15,11,38,23.12808226,92.68328358,6.630646083,109.3930157,pomegranate
14,5,36,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
36,7,37,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate
4,20,41,24.26601316,93.7974061,6.537042717,104.5375109,pomegranate
10,70,18,25.98645742,65.38289147,7.214960893,44.92860137,lentil
14,68,16,20.67961137,61.29574584,6.909316916,42.24590692,lentil
26,73,22,24.58973412,67.36284328,6.773319335,47.18990754,lentil
23,75,21,21.43830527,62.96645096,7.564070031,45.94222044,lentil
5,62,19,27.1642893,63.27243011,6.438324637,49.41704497,lentil
36,79,23,29.76359052,64.74842756,7.376631317,39.48448973,lentil
22,76,20,22.61946935,66.02837052,7.630185531,43.79824578,lentil
18,67,17,25.76835451,61.90901885,7.213835762,47.13507625,lentil
31,71,25,24.83756629,62.27190746,7.380635555,37.48773802,lentil
32,69,19,23.98090355,61.34503239,7.522207108,42.42548322,lentil
16,65,22,26.55064254,68.31499636,7.737736157,45.45377777,lentil
7,72,21,20.95638535,65.47875197,6.910263051,38.26735102,lentil
31,63,23,28.34796468,62.50401213,7.768527225,50.70383225,lentil
17,76,20,25.61328215,67.81529731,6.926947682,39.94491725,lentil
25,64,17,22.75084457,66.91169265,6.850313409,43.26780274,lentil
19,66,24,29.24964764,65.15733422,7.640097904,44.70280437,lentil
21,74,16,23.31910948,61.728613,7.184264338,41.75605657,lentil
32,61,20,28.02134041,65.3678223,7.009871958,48.4053873,lentil
38,69,18,27.46450586,64.96091894,6.547443545,49.7408319,lentil
30,78,21,29.25492801,63.68201734,7.423661194,47.75399335,lentil
14,62,22,22.75656441,60.84704241,7.731416301,52.30537661,lentil
10,73,23,29.15636502,60.98307125,7.078361336,41.80469042,lentil
9,70,25,22.785006,66.24828389,7.182848123,49.76202074,lentil
35,68,16,28.49716325,61.81778673,6.417877793,37.43851249,lentil
34,65,20,29.37968437,65.13239079,6.294942678,45.96112537,lentil
1,79,25,25.31425343,61.16261407,7.612588606,47.08887111,lentil
27,66,19,24.42021679,60.04559694,7.090788579,50.22611095,lentil
3,69,24,23.69806702,60.0423019,7.139219488,38.82497737,lentil
37,77,21,20.51082625,67.3910422,7.13513168,51.42974614,lentil
12,75,23,26.03248821,62.63148818,7.394469051,50.836444,lentil
15,64,20,23.74541476,66.83221191,7.044965754,47.75332154,lentil
30,78,24,27.53562368,66.49191401,7.711288046,43.61444087,lentil
9,63,21,25.68593757,60.72019291,6.486038796,43.61424524,lentil
20,67,23,27.09956232,65.64250738,6.793472583,39.29190868,lentil
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,banana
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,banana
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
108,89,53,29.55054817,78.06762846,5.808497604,99.34482238,banana
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
105,77,52,29.16226551,76.16151562,5.816622479,100.0075679,banana
118,88,52,28.65003945,82.68752542,5.843163161,98.75084366,banana
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,banana
95,75,50,28.08166093,75.26429821,null,118.2761894,banana
112,85,53,28.19573315,80.97857347,6.015264295,102.4537735,banana
96,90,49,28.41261917,78.53855644,5.69729029,111.5207211,banana
97,86,55,28.74608536,79.61873956,6.324511349,98.62079919,banana
110,91,54,27.87545082,84.33672214,6.071469284,99.24561977,banana
107,93,51,29.34681539,82.30837217,6.032899674,102.3182758,banana
94,89,53,28.99184033,83.41572431,5.735477844,96.95197667,banana
98,84,55,27.2546873,77.88124114,5.84965523,114.6975027,banana
102,78,50,26.98701324,75.64331956,6.426100827,112.347864,banana
115,80,52,28.4212371,78.23462352,5.798725369,107.095219,banana
103,91,54,28.8812078,83.71942481,6.253003684,100.8745648,banana
114,89,51,27.73839432,79.67294528,6.391856726,105.6796213,banana
100,87,55,26.87728214,76.91055079,6.176445218,97.59118844,banana
111,95,49,28.30316976,81.52786883,5.950649454,108.4893723,banana
99,78,53,27.42054264,78.84367048,6.057464375,103.7206432,banana
109,82,54,27.89138053,80.97574825,6.296803136,101.0937681,banana
104,94,50,28.07625897,83.31600423,5.681922065,105.9890157,banana
116,80,51,29.00868201,79.82954213,6.122499327,106.1505337,banana
92,89,53,26.3894621,83.61237702,6.497731944,94.12029506,banana
117,91,52,27.57741712,79.28174492,6.054865679,96.58133892,banana
98,92,54,27.15587854,82.46991342,6.391708522,100.4789354,banana
97,78,49,27.98296705,76.99147832,5.921434827,114.2632007,banana
113,94,55,27.65365868,83.12290327,5.911258487,103.6342648,banana
91,85,52,28.65442235,78.99148812,5.722229134,99.91563216,banana
106,93,53,26.73393387,82.72098365,5.96827616,105.8327739,banana
105,79,55,28.40181189,77.48049165,5.634870712,107.3879789,banana
114,87,50,29.12084256,79.03590763,6.47955608,106.2784501,banana
99,91,54,28.87631957,84.04203314,6.191070456,96.38077893,banana
107,86,52,28.07213122,78.39434323,6.305396191,108.4819425,banana
112,84,50,27.41031745,77.98259464,5.858686945,107.6330467,banana
116,95,49,28.89214872,83.17300587,5.948234402,102.489074,banana
110,78,53,26.56474849,77.59436838,6.102336815,112.2816487,banana
109,92,55,26.77970723,81.68552589,6.476910867,96.93913812,banana
101,86,52,28.61579897,79.21730697,6.035051406,98.78649537,banana
95,79,54,29.47142087,80.94340779,6.311540503,105.174075,banana
104,88,51,26.93087438,79.76645378,6.210340771,100.6284403,banana
93,80,55,29.33565045,77.60306243,6.26744643,107.4160559,banana
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,mango
34,16,25,30.07202564,50.96040505,6.10729559,92.09609766,mango
11,36,31,27.92063282,51.77965917,6.47544932,100.2585673,mango
33,29,34,31.40948821,49.21729127,6.832979509,92.99739415,mango
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,mango
12,34,28,33.36140093,45.02236377,6.13526938,98.81596545,mango
5,16,31,35.96054636,48.69677802,4.555688532,98.00644238,mango
1,30,29,28.33333307,51.39586505,6.434197756,91.67241761,mango
16,35,31,32.27652024,50.19368841,5.316875978,95.99487068,mango
35,42,26,31.99490489,50.84881347,5.279388967,97.38741498,mango
4,40,26,27.58258929,48.56916221,6.720041791,95.8445641,mango
9,29,34,29.38471637,45.88744691,5.72742254,100.8124659,mango
2,38,33,32.38697531,53.2328243,4.691396195,90.21633216,mango
26,32,32,30.91471455,49.92963856,6.810186079,90.14047759,mango
34,38,31,35.37775595,45.58110023,6.454045329,97.41586402,mango
20,25,29,31.23765489,48.76493871,5.908130214,93.29024576,mango
18,28,28,30.82507502,51.65045217,5.768964111,95.41258184,mango
21,33,30,28.71846209,46.54287406,6.912604518,99.76813549,mango
14,27,32,34.02793671,50.2587414,6.036923662,91.47342918,mango
32,30,29,29.8714623,47.59374593,5.974255934,94.81184933,mango
25,26,33,27.13987349,52.49732045,6.274439879,91.13403568,mango
22,36,31,32.43700576,47.68075433,5.455412757,97.76014283,mango
29,22,30,28.55022519,46.93828435,6.778305226,92.54106701,mango
17,35,27,34.69020777,51.07788264,6.215109354,98.66980518,mango
27,28,29,32.82144468,47.42862087,5.635497092,94.15727423,mango
31,31,32,30.69920985,50.59387614,6.740369219,93.5833813,mango
10,32,26,34.45218113,46.77265467,6.392564283,96.82361729,mango
19,29,34,31.52004239,52.32697723,5.692346726,91.22675926,mango
28,23,29,30.05865811,51.51554002,6.146188548,90.57928909,mango
30,24,32,33.6845592,46.393742,5.899038835,97.10856533,mango
24,33,30,27.97741073,50.12741324,6.072441548,99.34053238,mango
23,26,31,34.83591898,46.26555903,5.743514534,98.04532412,mango
13,28,27,29.34150104,48.86117668,6.67626379,94.68271349,mango
8,34,33,27.49371936,49.41654549,6.493355317,96.15155694,mango
6,35,26,29.90700726,52.01733649,5.786623407,93.90392225,mango
3,39,29,30.48179888,50.25243076,5.993696822,91.75929149,mango
7,30,28,33.20981124,46.63733414,6.237172269,95.22408847,mango
36,31,27,31.87187476,49.34588231,5.62152357,94.38971395,mango
16,37,26,29.64283147,50.79821182,6.347294546,98.0977648,mango
14,24,30,34.15649339,47.0174029,6.722998818,96.77782611,mango
18,38,29,32.07308729,48.46551493,5.459296647,97.90320439,mango
9,39,28,31.58715801,50.34115854,6.170523451,94.63261521,mango
32,23,33,33.51576932,48.93879403,5.991734987,99.21698525,mango
22,29,32,27.40841795,51.23467188,6.802253208,90.65515871,mango
25,37,26,30.15968926,49.78904453,5.826242894,93.47044579,mango
11,40,31,34.97335253,50.98314067,6.276562869,97.53633265,mango
20,33,27,32.6459466,47.76084527,6.826674607,96.52501926,mango
13,26,28,28.85216421,48.27465051,5.520062399,92.75137794,mango
13,144,204,30.7280404,82.42614055,6.092241627,68.38135469,grapes
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,grapes
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,grapes
35,140,197,16.77557314,82.75241875,6.106190557,66.76285469,grapes
11,122,195,12.14190714,83.56812483,5.647202395,69.63122027,grapes
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,grapes
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,grapes
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,grapes
27,145,205,9.467960445,82.29335466,5.800242694,66.02765219,grapes
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes
28,132,200,31.93248509,81.48274916,6.072357731,68.92654002,grapes
14,141,202,28.30596198,81.67440583,6.327732104,65.4031851,grapes
8,128,199,34.89578172,83.07889614,5.695703254,69.54818937,grapes
33,138,198,27.60248513,82.53961501,6.044677631,67.09171356,grapes
29,127,196,26.76413936,82.93836807,6.178926298,68.17384315,grapes
5,129,205,36.91547077,83.3715032,6.090168718,66.95920463,grapes
31,136,203,35.37380156,80.90722759,5.988158244,67.63234784,grapes
20,142,204,28.42548001,82.11158726,5.769104576,69.48024578,grapes
19,143,202,26.11798528,82.42977909,6.370986725,67.93322833,grapes
12,133,199,34.55680642,81.68442324,5.887565198,68.78078429,grapes
34,126,201,21.99250715,83.06284212,6.209118649,67.31135298,grapes
21,137,200,29.86852784,82.97821437,5.913609755,68.16553234,grapes
15,148,205,32.79614168,81.30700285,5.642882731,66.65022711,grapes
23,125,199,36.57079299,80.54840941,6.429849919,67.91169673,grapes
10,143,197,23.40555268,80.73578614,6.335480688,67.01746547,grapes
26,129,196,30.16765837,81.80458517,5.718114752,68.30824811,grapes
30,124,203,24.95367758,82.15651317,6.373840827,67.45838421,grapes
18,146,202,33.67919608,83.49842107,5.946576243,69.03854967,grapes
32,135,201,35.04723207,83.11246433,6.064944111,68.24714762,grapes
13,147,204,27.86022112,83.71492502,6.302777952,68.60987516,grapes
7,131,205,33.02148104,82.32916802,5.783688625,68.46828025,grapes
3,142,198,32.7148649,81.60975075,6.081051759,68.86529279,grapes
105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,watermelon
114,8,50,24.74631269,88.30866319,6.581587932,57.95826144,watermelon
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,watermelon
85,27,51,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,watermelon
82,22,50,26.22338015,85.34866045,6.512196212,54.60159289,watermelon
118,13,54,24.41311871,89.81574032,6.039584629,44.07843475,watermelon
83,25,53,26.49195283,80.04678201,6.057697106,57.72799157,watermelon
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,watermelon
101,10,47,25.5421695,83.31883376,6.298702594,57.57343233,watermelon
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,watermelon
104,17,46,25.7131428,80.22972777,6.190015912,43.08961827,watermelon
99,20,51,24.956873,84.50198347,6.389150743,46.87455618,watermelon
112,14,48,25.64289469,87.7332983,6.492172475,55.21229571,watermelon
108,12,49,26.31774484,81.68442324,6.287150743,48.34565293,watermelon
109,18,48,24.9330205,82.37116004,6.345033779,53.41762062,watermelon
87,21,55,26.61431917,85.65219896,6.58010558,52.30083108,watermelon
92,23,54,25.42257318,83.51269361,6.432344465,47.34188871,watermelon
100,16,49,25.86885395,87.41206415,6.398390227,55.53944853,watermelon
105,29,48,25.79628837,86.63732465,6.209118649,52.55411617,watermelon
97,24,52,25.1331662,80.90722759,6.270389398,49.25880369,watermelon
115,11,51,25.47059698,86.1846046,6.042497833,56.46055624,watermelon
98,19,50,24.68948912,86.06699834,6.522759695,54.17732836,watermelon
96,27,49,24.23372246,87.09818789,6.616781428,57.69788326,watermelon
107,26,51,26.94506806,87.07748274,6.225163716,42.51305896,watermelon
95,28,55,26.65255462,80.86301097,6.333366662,46.31417183,watermelon
91,21,47,24.60264354,84.11469068,6.68727523,49.57352933,watermelon
94,23,53,26.04501026,87.55676489,6.206413967,53.48200823,watermelon
113,16,54,25.91991933,85.27954595,6.348476172,50.27831981,watermelon
106,31,53,26.16854594,85.05939582,6.127823143,44.93067994,watermelon
102,29,51,26.35823929,82.79730707,6.354609553,52.40996534,watermelon
90,14,47,24.33507696,87.95484217,6.428054409,45.24601395,watermelon
89,18,48,26.74491018,84.8132662,6.581587932,57.00393365,watermelon
116,25,50,25.08854062,87.34139012,6.454045329,51.94004039,watermelon
110,28,54,25.55330544,84.76750645,6.103244681,47.08006479,watermelon
111,30,55,24.7892813,86.65254811,6.496601644,55.23218913,watermelon
103,19,52,25.95148471,80.30142806,6.27878697,44.40775337,watermelon
88,26,52,25.35943375,85.56970147,6.233941227,45.78029769,watermelon
114,27,48,27.82054812,93.03555162,6.528404378,26.32405487,muskmelon
101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,muskmelon
118,28,52,28.04943594,90.83130708,6.562832807,20.76223014,muskmelon
95,26,50,29.91690582,94.55695552,6.117530021,28.16057247,muskmelon
81,25,49,29.86895762,93.25103208,6.076459669,26.26243014,muskmelon
117,24,53,29.17220859,92.21405224,6.293486295,21.30290472,muskmelon
114,30,51,29.24908541,90.06998135,6.069171847,25.93496537,muskmelon
113,6,52,27.76317235,90.35567642,6.740983646,25.21609113,muskmelon
108,26,52,28.82629037,94.26765349,6.201797639,26.23838511,muskmelon
81,30,48,28.52379742,92.09688432,6.041027474,29.86681385,muskmelon
115,9,52,29.06785065,90.97685539,6.019372459,29.1194739,muskmelon
83,7,50,29.08417927,90.73891887,6.704104127,25.33014238,muskmelon
116,25,51,28.65432107,92.56781032,6.459887245,23.45678901,muskmelon
105,24,50,27.77327865,92.34567291,6.278799091,27.89012345,muskmelon
99,28,49,28.93451378,91.98752244,6.632288939,22.12345678,muskmelon
98,29,51,29.75687719,90.12345678,6.165498332,28.32198765,muskmelon
96,25,50,29.43344091,93.45678901,6.413114297,29.7654321,muskmelon
109,23,48,28.89038743,94.01234567,6.54098182,20.98765432,muskmelon
106,27,50,28.32752256,90.87654321,6.295906523,23.65432099,muskmelon
97,26,51,28.76386712,91.23456789,6.482646253,27.43209876,muskmelon
112,22,49,28.45466978,93.98765432,6.159123432,22.87654321,muskmelon
107,29,48,29.29839484,91.45678901,6.207334758,28.59876543,muskmelon
100,28,51,29.01913845,93.01234567,6.680244201,27.98765432,muskmelon
110,30,50,27.67755559,90.34567891,6.408087676,26.01234568,muskmelon
102,25,48,28.18765321,93.56781432,6.228390942,28.45679012,muskmelon
111,23,49,28.81041957,92.98765432,6.563211435,25.32198765,muskmelon
104,24,52,29.04737589,94.45678901,6.045159215,24.56790123,muskmelon
94,27,53,29.56220914,91.34567891,6.308234512,21.87654321,muskmelon
93,30,50,27.82325282,90.78901235,6.631757324,27.10987654,muskmelon
103,22,53,28.74265341,93.23456789,6.370491405,24.54320988,muskmelon
92,31,51,29.08670689,91.90123457,6.550188139,27.98765432,muskmelon
91,28,50,28.30096716,92.45678901,6.490907391,25.34567901,muskmelon
7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,apple
14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,apple
8,120,201,21.18667419,91.13435689,6.321152192,122.233323,apple
20,129,201,23.41044706,91.69913296,5.587905967,116.0777931,apple
32,137,204,22.86006627,93.12859895,5.824151693,117.7296726,apple
27,139,205,22.48403042,93.40819246,5.772179946,105.5473627,apple
0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,apple
22,144,196,21.91191314,91.68748063,6.499226821,117.0761277,apple
1,124,199,23.71059131,93.27392415,5.658473817,112.6676589,apple
30,122,197,21.37784654,92.72043743,5.573241391,106.1417017,apple
29,121,196,22.84852833,94.32130209,6.079497202,123.5977843,apple
13,126,204,23.1094265,92.79630809,6.383180271,108.183792,apple
9,139,199,23.25230817,94.54128292,5.867420996,105.3558408,apple
0,133,200,23.67287749,90.4935574,5.708418722,104.2298028,apple
30,143,199,23.76881552,90.59810302,5.7983508,102.2648546,apple
36,140,198,23.34386401,91.47684705,6.28188384,104.4267991,apple
37,137,199,22.63946441,90.18451645,5.697945522,108.3405879,apple
33,121,203,22.45696744,94.76285385,5.605934087,114.8407725,apple
7,144,195,22.96388477,93.58065995,5.85648105,104.6472986,apple
35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,apple
41,126,203,22.19431807,91.89038452,6.127615899,112.9334712,apple
45,123,200,23.55490396,92.83767014,6.259760284,114.3812635,apple
50,129,198,21.90102748,91.74391568,6.397441793,113.2894024,apple
48,138,199,23.96376923,93.02867815,5.735904152,108.6459167,apple
42,143,196,23.69854527,91.46237105,6.084239778,114.8960239,apple
47,121,204,22.81027569,94.67483701,5.945122098,107.1289546,apple
43,128,201,22.98890675,93.93459731,6.456939282,116.0248035,apple
46,137,198,22.46614119,90.84698275,6.293749425,105.5771044,apple
49,135,203,23.67473928,94.32617465,5.978416744,112.8542063,apple
44,126,205,21.34567891,93.14526592,6.323553246,109.5129942,apple
34,142,202,22.98887452,92.44603618,6.155394798,113.7659201,apple
39,136,199,23.15930148,94.01029516,6.072981961,106.3246712,apple
38,141,198,21.73218016,90.73245025,6.315691374,111.0987324,apple
37,128,205,22.50821285,91.8794537,5.956888325,114.8732493,apple
40,133,199,23.70153182,93.26709083,5.820037216,116.5823001,apple
49,145,197,23.34821907,94.02264803,6.484398524,113.7913942,apple
31,123,204,22.61914132,93.50079246,5.706920414,118.0073823,apple
38,134,201,23.87504259,90.34598762,6.396844882,107.3459056,apple
42,136,203,22.19842035,94.32467185,6.120172776,114.6780912,apple
45,135,202,22.46480165,91.59812347,5.985148192,113.2568923,apple
48,141,204,23.94753943,91.77345809,6.493282419,112.9675537,apple
46,144,203,23.7784598,94.56432861,5.846297738,107.6872842,apple
33,121,199,22.49567016,91.96735284,5.765882177,108.5432891,apple
35,128,204,22.72486197,94.09148736,6.25627432,106.7239812,apple
36,134,202,22.3064254,91.54387012,5.948672311,116.2938746,apple
39,136,203,23.50825894,93.28329507,6.373918151,108.4032871,apple
43,144,202,22.98220947,91.86998324,5.990738002,114.5864039,apple
22,30,12,15.78144173,92.51077745,6.354006744,119.035002,orange
37,6,13,26.03097313,91.50819306,7.511755068,101.2847738,orange
27,13,6,13.36050601,91.35608208,7.335158382,111.2266885,orange
7,16,9,18.87957654,92.04304496,7.813916603,114.6659511,orange
20,7,9,29.47741671,91.57802915,7.129136941,111.1727497,orange
26,27,10,28.06903173,92.91487288,6.079998496,114.1339416,orange
5,23,15,25.66901098,92.04670813,7.408939392,112.5424199,orange
0,35,14,29.77149434,92.00719952,7.207991261,114.4161786,orange
39,24,14,30.55472573,90.90343769,7.189259647,106.0711985,orange
13,23,6,23.96147583,90.26408017,7.365338111,102.6958703,orange
21,17,15,23.98289638,91.5473145,7.455991072,118.4901697,orange
33,12,8,25.26052689,90.31153735,6.822282114,117.3695296,orange
6,9,12,31.08368929,90.14362642,7.028746406,109.6894658,orange
19,7,10,14.78003032,91.22062116,6.118430299,100.1961762,orange
24,38,6,26.56608303,94.45239715,6.285312759,116.3796525,orange
9,11,8,24.85903405,94.39000473,6.559236744,111.7803734,orange
31,8,7,34.51465139,93.63812684,7.163245982,103.5684926,orange
22,17,5,24.12188673,90.72351622,6.945562889,102.835632,orange
13,5,8,23.85340379,90.10522549,7.474710503,103.923226,orange
16,8,9,24.60297538,91.28408653,7.601189843,111.2948115,orange
41,18,14,30.89126502,91.75093344,7.682445238,108.5461839,orange
45,14,11,27.06540456,92.44196035,7.397091157,114.0762296,orange
50,19,10,29.87701745,91.86434922,7.208580191,116.9827692,orange
48,22,13,26.29472518,91.58331296,7.110024512,112.4709483,orange
42,26,15,29.26450498,92.76011428,7.345931387,111.0958274,orange
47,15,12,27.85344467,92.45500281,6.927292866,109.4277348,orange
43,11,16,28.54927273,91.97511068,7.291330112,114.8092139,orange
46,19,14,28.01389045,92.13540507,7.692653341,116.2878942,orange
49,20,11,30.63141992,92.33845058,7.486317281,110.3362193,orange
44,18,10,29.19743012,91.70002177,7.107894659,114.7290753,orange
34,24,14,30.03568471,91.88652329,6.979035285,116.0320195,orange
39,23,15,29.59374812,92.20830159,6.248745225,108.5312476,orange
38,20,13,27.58094138,91.44472817,7.045128126,112.9017287,orange
37,17,12,26.78450217,92.58368427,7.629575566,110.8595277,orange
40,21,10,30.39231708,91.87785802,7.477681512,117.1669825,orange
49,26,16,28.72361531,91.95218482,7.022618355,108.932453,orange
31,22,13,27.92136342,92.11047217,7.29402566,107.1574091,orange
38,24,15,30.10875249,92.35627934,7.071870001,114.2185139,orange
42,28,16,27.50757138,92.51265598,6.885610281,111.3440794,orange
45,25,14,29.45806576,92.66777905,7.414592874,116.9894532,orange
48,27,15,26.73440857,92.82348509,7.220964583,109.1171867,orange
46,23,12,27.33272849,92.97931197,6.980958443,113.5799965,orange
33,21,11,28.12936759,91.6789367,7.149189718,115.8332192,orange
36,20,14,29.84713344,92.8347227,6.925611745,111.7341653,orange
35,19,16,29.01622627,91.99704286,7.334684467,109.5114588,orange
44,23,13,28.24260507,92.45655439,7.25654632,117.6683533,orange
32,25,12,30.28713525,92.6113324,7.483443226,115.3822833,orange
43,18,11,27.81516071,92.76610891,7.687779286,114.3197034,orange
44,56,49,39.23342464,91.25589286,6.519779583,64.4478499,papaya
34,68,51,27.34734861,94.17756725,6.687088098,40.35153141,papaya
50,59,47,40.76998685,92.09278584,6.747975732,209.8678411,papaya
39,55,52,26.26559543,90.79668055,6.65149129,59.49373381,papaya
34,61,49,28.12971499,93.3210737,6.502675132,117.8201907,papaya
44,60,55,34.2804607,90.55561637,6.825371185,98.54047745,papaya
31,62,52,33.7960155,93.00754254,6.99104104,182.026807,papaya
65,62,51,31.53243779,90.87394933,6.511624841,207.0735119,papaya
44,57,53,42.30495821,90.51431779,6.93172108,74.876786,papaya
50,47,48,24.63676897,90.61964344,6.712772333,218.2299187,papaya
43,50,48,28.28222883,91.37059792,6.63016515,179.2720807,papaya
60,46,53,24.48620746,92.98254537,6.761953186,183.49095,papaya
53,68,55,42.84609252,94.63548176,6.691202286,78.8099639,papaya
59,62,52,43.67549305,93.10887229,6.608667684,103.8235658,papaya
60,58,51,42.07213781,92.92203105,6.840802254,165.7412972,papaya
42,60,47,33.46873719,92.12746225,6.834808348,136.8277041,papaya
47,55,53,36.38291567,93.02465827,6.765540701,89.76001523,papaya
55,59,52,40.20876492,93.19472658,6.976315193,72.41612529,papaya
48,54,50,38.57631115,91.99025863,6.657935394,152.2973213,papaya
52,67,54,37.15927358,92.31709792,6.53139829,85.72381935,papaya
51,63,51,35.67492614,91.48263164,6.456742789,107.4715824,papaya
56,57,48,31.72540876,91.6552779,6.724789609,92.63401794,papaya
45,65,52,39.04901884,93.72574834,6.861547821,68.25107613,papaya
54,60,49,31.58268371,90.82827126,6.743276602,76.82943685,papaya
59,55,53,32.82789029,91.57339467,6.582368415,154.9925478,papaya
49,58,54,37.41726854,93.31891775,6.897461988,79.49316514,papaya
57,66,50,38.72870708,93.51472068,6.921404296,55.957218,papaya
54,64,48,35.91519441,93.71052362,6.589417849,71.23044386,papaya
58,67,55,36.95408049,93.90632656,6.69877125,62.75378221,papaya
46,51,51,30.84195088,94.1021295,6.861421663,84.19505469,papaya
50,55,49,32.9962538,94.29793243,6.74656579,90.6745517,papaya
51,59,50,37.39749719,94.49373537,6.912012983,97.70451549,papaya
52,63,54,39.28415698,94.68953831,6.549905163,66.78898344,papaya
58,64,53,30.75003334,94.88534125,6.861747471,53.45146932,papaya
49,66,52,38.42358489,95.08114419,6.626220755,58.20993718,papaya
55,51,51,34.47967614,95.27694712,6.737899387,61.16586923,papaya
47,60,50,35.51434579,95.47275006,6.808078128,44.83216511,papaya
53,57,53,36.79290426,95.668553,6.925669497,47.63507437,papaya
59,62,52,38.27989824,95.86435594,6.987782681,50.43798363,papaya
57,53,49,40.09907359,96.06015888,6.752255966,69.13560067,papaya
54,56,54,29.28625668,96.25596181,6.9465058,65.41747974,papaya
48,59,51,30.29163651,96.45176475,6.60910238,70.03405464,papaya
53,64,50,31.72655752,96.64756769,6.855894232,61.6643437,papaya
59,61,53,33.55701464,96.84337063,6.625106628,73.70822108,papaya
52,58,49,34.46310861,97.03917357,6.78079847,79.49085223,papaya
